Artist Name(s);Album Name;Album Release Date;Track duration (s);Explicit;Popularity;Artist Genres;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Time Signature;Label;Copyrights;;;
Paloma Faith;Do You Want The Truth Or Something Beautiful?;24/09/2009;174,333;0;0;british soul,talent show;0,566;0,927;4;-1,887;0;0,0693;0,259;0;0,385;0,836;105,161;4;Epic;P (P) 2009 Sony Music Entertainment UK Limited;;;0,174333
Herman's Hermits;Into Something Good (The Mickie Most Years 1964-1972);04/08/2008;154,253;0;11;british invasion,classic rock,folk rock,rock-and-roll,singer-songwriter;0,619;0,654;0;-4,773;1;0,0324;0,185;0,00661;0,0919;0,969;128,357;4;Parlophone UK;C © 2008 Parlophone Records Ltd, a Warner Music Group Company, P ? 2008 Parlophone Records Ltd, a Warner Music Group Company;;;0,154253
Kasabian;West Ryder Pauper Lunatic Asylum;01/01/2009;249,946;0;49;britpop,garage rock,leicester indie,modern rock,rock;0,363;0,991;6;-2,561;0;0,0791;0,113;0,0265;0,0792;0,476;175,064;4;Columbia;"P Track 4 (P) 2007; all other tracks (P) 2009 Sony Music Entertainment UK Limited";;;0,249946
The Monkees;The Monkees Present: Micky, David & Michael;01/10/1969;135,8;0;16;album rock,beatlesque,bubblegum pop,classic rock,folk rock,heartland rock,mellow gold,psychedelic rock,rock-and-roll,singer-songwriter,soft rock,sunshine pop;0,582;0,836;11;-9,3;0;0,0559;0,129;0,00000181;0,248;0,915;110,563;4;Rhino;C © 1994 Rhino Records Inc,, P ? 1994 Rhino Records Inc,;;;0,1358
Thompson Twins;The Best of Thompson Twins Greatest Mixes;01/01/1988;429,173;0;17;new romantic,new wave,new wave pop,synthpop;0,871;0,491;7;-13,407;1;0,0392;0,573;0,00862;0,12;0,73;107,92;4;Arista;P (P) 1982, 1983, 1984, 1985, 1987, 1988 BMG/Arista Records Ltd,;;;0,429173
Gene McDaniels;Best Of Gene McDaniels;01/01/1995;143,6;0;22;deep adult standards;0,725;0,374;0;-8,018;1;0,0386;0,577;0;0,107;0,82;128,569;4;Capitol Records;C © 1995 Capitol Records Inc,, P This Compilation ? 1995 Capitol Records Inc,;;;0,1436
Jess Glynne;I Cry When I Laugh;01/01/2015;227,343;0;62;pop,uk pop;0,642;0,823;0;-5,717;1;0,0289;0,00159;0;0,0776;0,431;122,977;4;Atlantic Records UK;C © 2015 Atlantic Records UK Ltd, a Warner Music Group Company, P ? 2015 Atlantic Records UK Ltd, a Warner Music Group Company, except track 9 2013 Atlantic Records UK Ltd and track 13 2015 Disturbing London Records Limited under exclusive licence to Parlophone Records Limited;;;0,227343
The B-52's;The B-52's;11/07/1979;409,4;0;63;album rock,classic rock,dance rock,new romantic,new wave,new wave pop,permanent wave,post-punk,rock,zolo;0,592;0,882;8;-8,315;1;0,0468;0,00884;0,0155;0,0506;0,442;92,157;4;Reprise;C © 1979 Warner Records Inc,, P ? 1979 Warner Records Inc,;;;0,4094
Traffic;Mr, Fantasy;08/12/1967;181,266;0;37;art rock,blues rock,british blues,classic rock,country rock,electric blues,folk,folk rock,heartland rock,mellow gold,progressive rock,psychedelic rock,roots rock,symphonic rock;0,493;0,721;11;-8,795;1;0,0368;0,406;0,0000293;0,0713;0,334;101,666;4;Universal-Island Records Ltd,;C © 1968 Island Records, a division of Universal Music Operations Limited, P This Compilation ? 1999 Island Records, a division of Universal Music Operations Limited;;;0,181266
Seether;Disclaimer;01/01/2002;243,64;0;70;alternative metal,nu metal,post-grunge,south african rock;0,442;0,855;6;-2,985;0;0,0288;0,00049;0,0137;0,273;0,363;175,543;4;Fantasy Records;C © 2002 The Bicycle Music Company, P ? 2002 The Bicycle Music Company;;;0,24364
B,o,B, Hayley Williams;R&B: The Collection;14/10/2016;179,8;0;40;atl hip hop,dance pop,pop rap,rap,southern hip hop,art pop;0,66;0,846;6;-5,252;0;0,124;0,113;0;0,0459;0,417;93,027;4;Rhino;C © This Compilation 2016 Rhino UK, a division of Warner Music UK Ltd, P ? This Compilation 2016 Rhino UK, a division of Warner Music UK Ltd;;;0,1798
Besomorph, Lucifer;Holy Water;18/03/2022;136,585;0;0;alt z,dark r&b,slap house,traprun,covertronica;0,785;0,749;8;-5,876;0;0,179;0,07;0,00000322;0,399;0,405;122,915;4;Besomorph;C 2022 Besomorph, P 2022 Besomorph;;;0,136585
Bee Gees;How Can You Mend A Broken Heart;11/12/2020;241,093;0;74;disco,mellow gold,soft rock;0,594;0,5;5;-5,586;0;0,0255;0,076;0,0000986;0,184;0,537;104,996;4;UME - Global Clearing House;"C © 2020 Capitol Records; Barry Gibb, The Estate of Robin Gibb and Yvonne Gibb under exclusive license to UMG Recordings, Inc,, P ? 2020 Capitol Records; Barry Gibb, The Estate of Robin Gibb and Yvonne Gibb under exclusive license to UMG Recordings, Inc,";;;0,241093
Bee Gees;Tales From The Brothers Gibb;01/10/1990;281,666;0;58;disco,mellow gold,soft rock;0,708;0,567;10;-15,539;0;0,0355;0,07;0,00105;0,152;0,955;103,606;4;Bee Gees Catalog;C © 1990 UMG Recordings, Inc,, P This Compilation ? 1990 UMG Recordings, Inc,;;;0,281666
The Pointer Sisters;Contact (Expanded Edition);01/02/1985;259,12;0;47;disco,girl group,hi-nrg,motown,new wave pop,soft rock;0,71;0,917;4;-5,275;0;0,0909;0,0799;0,00000195;0,18;0,944;109,641;4;RCA/Legacy;P This compilation (P) 2011 RCA Records, a division of Sony Music Entertainment;;;0,25912
Katy Perry;PRISM (Deluxe);01/01/2013;204,285;0;0;pop;0,686;0,633;9;-6,073;0;0,0483;0,0231;0;0,0831;0,8;96,027;4;Universal Music Group;C © 2013 Capitol Records, LLC, P ? 2013 Capitol Records, LLC;;;0,204285
Ram Jam;Ram Jam;20/06/1977;238,973;0;75;southern rock;0,465;0,907;11;-6,404;0;0,113;0,0241;0,00118;0,13;0,681;117,293;4;Epic;P (P) 1977 Epic Records, a division of Sony Music Entertainment;;;0,238973
Julian Casablancas;Phrazes For The Young;30/10/2009;243,333;0;57;indie rock;0,574;0,925;6;-2,766;0;0,0463;0,00164;0,0243;0,115;0,369;125,501;4;RCA Records Label;P (P) 2009 RCA/JIVE Label Group, a unit of Sony Music Entertainment;;;0,243333
Kygo, Maty Noyes;Cloud Nine;13/05/2016;239,465;0;68;edm,pop,pop dance,tropical house,alt z;0,648;0,736;8;-7,948;1;0,0385;0,0444;0,000137;0,171;0,378;103,027;4;Kygo;P (P) 2016 Kygo under exclusive license to Sony Music Entertainment International Ltd / Ultra Records, LLC;;;0,239465
Dami Im;Classic Carpenters;22/04/2016;217,693;0;19;australian pop,australian talent show,talent show;0,468;0,445;7;-6,028;1;0,0274;0,781;0,00515;0,0839;0,19;127,434;4;Sony Music Entertainment;P (P) 2016 Sony Music Entertainment Australia Pty Ltd,;;;0,217693
Train;Hey, Soul Sister;06/08/2009;216,666;0;0;dance pop,neo mellow,pop,pop rock;0,675;0,885;1;-4,432;0;0,0436;0,217;0;0,086;0,768;97,03;4;Columbia;P (P) 2009 Columbia Records, a division of Sony Music Entertainment;;;0,216666
Donovan;The Hurdy Gurdy Man;01/10/1968;193,466;0;59;british folk,british invasion,classic rock,folk,folk rock,glam rock,psychedelic folk,psychedelic rock,scottish singer-songwriter,singer-songwriter;0,405;0,463;0;-16,167;1;0,0542;0,00379;0,0442;0,392;0,542;79,451;4;Epic;P Originally released 1968 Sony Music Entertainment Inc,;;;0,193466
Nico & Vinz, Kid Ink, Bebe Rexha;That's How You Know (feat, Kid Ink & Bebe Rexha);17/07/2015;186,443;1;58;afrobeats,pop rap,rap,southern hip hop,trap,dance pop,pop;0,769;0,437;1;-6,406;1;0,0363;0,44;0;0,116;0,737;103,921;4;Warner Records;C © 2015 Warner Records Inc,, P ? 2015 Warner Records Inc,;;;0,186443
David Franj;Wrong Place, Wrong Time;01/01/2003;285,666;0;7;;0,584;0,751;6;-5,992;1;0,0251;0,000852;0,000401;0,0779;0,532;103,947;4;Standard Records;C 2003 Standard Records, P 2003 Standard Records;;;0,285666
Billie Eilish;Therefore I Am;12/11/2020;174,321;0;76;art pop,electropop,pop;0,889;0,34;11;-7,773;0;0,0697;0,218;0,13;0,055;0,716;94,009;4;Darkroom/Interscope Records;C © 2020 Darkroom/Interscope Records, P ? 2020 Darkroom/Interscope Records;;;0,174321
Lupe Fiasco, Matthew Santos;Lupe Fiasco's The Cool;01/01/2007;289;0;67;chicago rap,conscious hip hop,hip hop,political hip hop,pop rap,rap,southern hip hop;0,572;0,822;11;-6,015;0;0,361;0,207;0;0,359;0,472;94,812;4;1st & 15th/Atlantic;C © 2007 Atlantic Recording Corporation for the United States and WEA International Inc, for the world outside of the United States, P ? 2007 Atlantic Recording Corporation for the United States and WEA International Inc, for the world outside of the United States;;;0,289
Meghan Trainor;Thank You (Deluxe);13/05/2016;181,24;0;54;hip pop,pop;0,935;0,694;11;-5,849;0;0,101;0,0963;0,0000012;0,479;0,834;123,824;4;Epic;P (P) 2016 Epic Records, a division of Sony Music Entertainment;;;0,18124
Samantha Jade;New Boy;20/11/2020;195,979;0;35;australian pop,australian talent show;0,617;0,456;6;-3,665;1;0,0634;0,0464;0,00831;0,0471;0,75;104,772;4;Sony Music Entertainment;P (P) 2020 Sony Music Entertainment Australia Pty Ltd;;;0,195979
Brandi Carlile;The Story;03/04/2007;238,493;0;69;acoustic pop,ectofolk,folk,indie folk,lilith,modern folk rock,new americana;0,544;0,5;11;-8,253;1;0,026;0,0325;0,00000378;0,109;0,177;93,621;4;Columbia;P (P) 2007 SONY BMG MUSIC ENTERTAINMENT;;;0,238493
La Roux;La Roux;01/01/2009;198,093;0;0;alternative dance,electropop,neo-synthpop;0,719;0,764;1;-3,231;1;0,035;0,00165;0,0000408;0,361;0,961;124,05;4;Polydor;C © 2008 Polydor Ltd, (UK), P ? 2008 Polydor Ltd, (UK);;;0,198093
Train;Save Me, San Francisco (Golden Gate Edition);01/12/2010;216,773;0;86;dance pop,neo mellow,pop,pop rock;0,673;0,886;1;-4,44;0;0,0431;0,185;0;0,0826;0,795;97,012;4;Columbia;P (P) 2009, 2010 Sony Music Entertainment;;;0,216773
Rick James;Street Songs (Deluxe Edition);07/04/1981;205,466;0;75;disco,funk,motown,quiet storm,soul,synth funk;0,838;0,794;9;-8,245;0;0,0531;0,22;0;0,0575;0,962;132,446;4;Motown;C © 1981 Motown Records, a Division of UMG Recordings, Inc,, P ? 1981 Motown Records, a Division of UMG Recordings, Inc,;;;0,205466
Ciara;I Bet;26/01/2015;287,85;1;48;dance pop,hip pop,pop,r&b,urban contemporary;0,739;0,616;8;-7,246;1;0,0621;0,0808;0;0,0759;0,341;129,016;4;Epic;P (P) 2015 Epic Records, a division of Sony Music Entertainment;;;0,28785
Queen;The Miracle (Deluxe Edition 2011 Remaster);22/05/1989;242,093;0;10;classic rock,glam rock,rock;0,406;0,847;11;-5,705;0;0,0482;0,0249;0,00000301;0,375;0,379;92,245;4;EMI;C © 2011 Queen Productions Ltd, / Raincloud Productions Ltd,, P ? 2011 Queen Productions Ltd, / Raincloud Productions Ltd,;;;0,242093
Nicolette Larson;Nicolette;01/01/1978;191,773;0;60;yacht rock;0,646;0,406;5;-15,616;0;0,0264;0,159;0,00114;0,27;0,895;113,708;4;Rhino/Warner Records;C © 1978 Warner Records Inc,, Marketed by Rhino Entertainment Company, a Warner Music Group Company, P ? 1978 Warner Records Inc,, Marketed by Rhino Entertainment Company, a Warner Music Group Company;;;0,191773
Adele;25;20/11/2015;240,439;0;0;british soul,pop,pop soul,uk pop;0,59;0,833;5;-6,503;0;0,0615;0,0142;0,00000535;0,105;0,537;94,963;4;XL Recordings;C 2015 XL Recordings Limited,, P 2015 XL Recordings Limited,;;;0,240439
Black Eyed Peas;The Beginning;01/01/2010;219,426;0;0;dance pop,pop,pop rap;0,482;0,661;0;-8,646;0;0,323;0,185;0;0,0804;0,246;94,001;4;Universal Music Group;C © 2010 Interscope Records, P ? 2010 Interscope Records;;;0,219426
Julio Iglesias, Willie Nelson;The Essential Willie Nelson;01/01/2015;211,493;0;33;latin pop,classic country pop,classic texas country,country,country rock,nashville sound,outlaw country,singer-songwriter;0,516;0,484;6;-10,171;1;0,0296;0,592;0,00000777;0,083;0,355;82,304;4;Columbia Nashville Legacy;P This Compilation (P) 2015 Sony Music Entertainment;;;0,211493
Coldplay;A Rush of Blood to the Head;08/08/2002;297,306;0;69;permanent wave,pop;0,611;0,556;9;-5,761;1;0,0288;0,175;0,0000714;0,0359;0,252;126,532;4;Parlophone Records Limited;C © 2002 Parlophone Records Ltd, a Warner Music Group Company, P ? 2002 Parlophone Records Ltd, a Warner Music Group Company;;;0,297306
Alicia Keys;As I Am;09/11/2007;274,106;0;0;neo soul,pop,r&b;0,553;0,495;0;-8,251;1;0,0364;0,285;0,00359;0,125;0,126;81,068;4;J Records;P (P) 2007 RCA/JIVE Label Group, a unit of Sony Music Entertainment;;;0,274106
Bill Medley, Jennifer Warnes;Dirty Dancing: Anniversary Edition;21/09/2012;288,986;0;43;soft rock;0,698;0,81;6;-7,898;0;0,0531;0,087;0,00678;0,06;0,39;108,695;4;RCA/Legacy;P This compilation (P) 2012 Sony Music Entertainment,;;;0,288986
Joan Jett & the Blackhearts;I Love Rock 'N Roll;05/02/2013;197,426;0;0;glam punk,rock;0,181;0,745;0;-5,241;1;0,0359;0,0483;0,000571;0,113;0,656;166,232;4;Liberator Music;C 2013 Blackheart Records, P 2013 Blackheart Records;;;0,197426
Herman's Hermits;The Very Best Of Herman's Hermits;06/03/1996;151,066;0;21;british invasion,classic rock,folk rock,rock-and-roll,singer-songwriter;0,499;0,156;9;-13,523;1;0,0429;0,783;0;0,351;0,439;119,553;4;Parlophone UK;C © 1997 Parlophone Records Ltd, a Warner Music Group Company, P ? 1997 Parlophone Records Ltd, a Warner Music Group Company;;;0,151066
Camille Jones, Fedde Le Grand;The Creeps;19/12/2011;150,253;0;45;dutch house,edm,electro house,house,pop dance,progressive electro house,progressive house;0,858;0,866;1;-6,649;1;0,0596;0,256;0,0258;0,0627;0,744;127,924;4;Lifted House;C (C) 2011 Lifted House;;;0,150253
Rosie & The Originals;The Unavailable 16 & The Original Nitty Gritty;01/01/1993;227,624;0;0;souldies;0,351;0,177;0;-15,218;1;0,0323;0,85;0,000662;0,113;0,447;196,986;3;Universal Music Group;C © 1993 Concord Music Group, Inc,, P ? 1993 Concord Music Group, Inc,;;;0,227624
Powderfinger;Odyssey Number Five;01/01/2000;276,626;0;65;australian alternative rock,australian rock;0,445;0,823;0;-5,415;1;0,0302;0,00163;0;0,43;0,487;85,935;4;Universal Music Australia Pty, Ltd,;C © 2000 Grudge Records Australia, A Universal Music Company, P ? 2000 Grudge Records Australia, A Universal Music Company;;;0,276626
Delta Goodrem;Child Of The Universe (Deluxe Edition);26/10/2012;276,853;0;36;australian pop,australian talent show;0,489;0,472;2;-4,797;1;0,0259;0,779;0;0,16;0,363;104,977;4;Sony Music Entertainment;P (P) 2012 Sony Music Entertaiinment Australia Pty Ltd,/(P) 2012 Sony Music Entertainment Australia Pty Ltd,;;;0,276853
Redgum;Caught In The Act;15/08/1983;357,4;0;24;australian rock;0,33;0,379;9;-16,775;1;0,0823;0,693;0;0,403;0,382;83,671;4;Epic;P (P) 1983 Sony Music Australia Limited;;;0,3574
Eruption;4 Hits: Eruption;15/07/2011;213,2;0;65;;0,719;0,732;1;-9,227;0;0,0408;0,319;0,00000651;0,0745;0,96;123,569;4;MCI;P (P) 2011 Sony Music Entertainment Germany GmbH;;;0,2132
The Screaming Jets;Tear Of Thought;11/02/1992;266,773;0;43;australian rock;0,409;0,486;6;-11,958;1;0,0278;0,0743;0,014;0,125;0,417;134,626;4;rooArt;P (P) 1992 Sony Music Entertainment (Australia) Pty Limited;;;0,266773
Jason Mraz;Love Is a Four Letter Word;13/04/2012;240,165;0;73;acoustic pop,dance pop,neo mellow,pop;0,483;0,303;4;-10,058;1;0,0429;0,694;0;0,115;0,139;133,406;3;Atlantic Records;C © 2012 Atlantic Recording Corporation for the United States and WEA International Inc, for the world outside of the United States,, P ? 2012 Atlantic Recording Corporation for the United States and WEA International Inc, for the world outside of the United States,;;;0,240165
The Reels;Reel To Reel: 1978 - 1992;15/09/2007;224,84;0;0;australian rock;0,607;0,449;3;-9,479;0;0,0315;0,502;0,0000174;0,136;0,18;130,852;4;Bloodlines;C 2007 Bloodlines, P 2007 Bloodlines;;;0,22484
Frank Sinatra;Strangers In The Night (Expanded Edition);01/05/1966;157,866;0;73;adult standards,easy listening,lounge;0,259;0,473;5;-8,275;1;0,0295;0,592;0;0,201;0,539;90,348;4;FRANK SINATRA DIGITAL REPRISE;C © 1966 Frank Sinatra Enterprises, LLC, P ? 2009 Frank Sinatra Enterprises, LLC;;;0,157866
Adam & The Ants;Kings of the Wild Frontier;20/05/2016;216,96;0;0;new romantic,new wave,new wave pop;0,695;0,806;2;-4,119;1;0,142;0,101;0,00012;0,37;0,635;81,151;4;Sony Music UK;P (P) 2015 Sony Music Entertainment UK Limited;;;0,21696
KISS;Dressed To Kill;19/03/1975;168,84;0;79;glam rock,hard rock,rock;0,654;0,929;1;-5,906;1;0,0998;0,0468;0;0,0539;0,902;144,774;4;Casablanca Records;C © 1997 Kiss Catalog, Ltd,, P ? 1975 The Island Def Jam Music Group;;;0,16884
Del Amitri;Waking Hours;01/01/1989;275,026;0;43;melancholia,new wave pop,scottish rock;0,68;0,514;7;-14,358;1;0,0343;0,157;0,0192;0,348;0,783;117,316;4;EMI;C © 1990 A&M Records Limited, P ? 1989 A&M Records Limited;;;0,275026
Lady Gaga;The Fame Monster (Explicit Version);01/01/2009;294,573;1;0;art pop,dance pop,pop;0,696;0,921;0;-3,755;1;0,0363;0,00314;0,0000524;0,0842;0,714;119,001;4;Streamline/Interscope;C © 2009 Interscope Records, P ? 2009 Interscope Records;;;0,294573
Stan Walker;Let The Music Play;21/11/2011;204,426;0;36;australian talent show,nz christian,nz pop;0,524;0,854;8;-4,237;0;0,122;0,0118;0;0,0861;0,528;122,066;4;Sony Music Entertainment;P (P) 2011 Sony Music Entertainment Australia Pty Ltd,;;;0,204426
Green Day;Nimrod;14/10/1997;171,466;0;67;modern rock,permanent wave,punk,rock;0,424;0,919;9;-4,629;1;0,1;0,00306;0,00674;0,123;0,684;163,732;4;Reprise;C © 1997 Reprise Records for the U,S, and WEA International Inc, for the world outside of the U,S,, P ? 1997 Reprise Records for the U,S, and WEA International Inc, for the world outside of the U,S,;;;0,171466
Peter McCann;The 70s One Hit Wonder Collection;27/05/2016;211,772;0;37;;0,694;0,413;3;-9,1;1;0,0268;0,348;0;0,124;0,542;109,967;4;Nasjon Properties;C 2016 2016, P 2016 2016;;;0,211772
Sheena Easton;Greatest Hits;01/04/1995;200,973;0;53;mellow gold,minneapolis sound,new romantic,new wave pop,soft rock;0,797;0,511;8;-10,618;1;0,0552;0,686;0;0,122;0,804;121,874;4;RT Industries;C © 1995 RT Industries, P ? 1995 RT Industries;;;0,200973
The Crystals;Da Doo Ron Ron: The Very Best of The Crystals;22/02/2011;158,853;0;61;classic girl group,doo-wop,rock-and-roll;0,431;0,678;4;-7,945;1;0,0365;0,7;0,00000637;0,199;0,633;135,919;4;Legacy Recordings;P (P) 2011 Phil Spector Records, Inc, Under exclusive license to EMI Blackwood Music Inc,/Sony Music Entertainment;;;0,158853
Maxi Priest, John Gallen;Best Of Maxi Priest;01/01/2008;216,133;0;37;lovers rock,reggae,reggae fusion;0,563;0,61;0;-6,961;1;0,0391;0,22;0,0000674;0,326;0,795;168,423;4;Virgin Records;C © 2008 Virgin Records America, Inc,, P This Compilation ? 2008 Virgin Records America, Inc,;;;0,216133
Eminem;The Eminem Show;26/05/2002;290,32;1;91;detroit hip hop,hip hop,rap;0,908;0,669;7;-2,827;1;0,0738;0,00286;0;0,237;0,662;112,238;4;Aftermath;C © 2002 Aftermath Records, P ? 2002 Aftermath Records;;;0,29032
Metro Station;Metro Station;18/09/2007;179,946;0;71;electropowerpop,neon pop punk,pixie,pop punk;0,618;0,955;4;-3,836;1;0,0798;0,00221;0,00000309;0,486;0,79;150,034;4;Red Ink;P (P) 2007 SONY BMG MUSIC ENTERTAINMENT;;;0,179946
Rudimental, Anne-Marie, Will Heard;We the Generation;02/10/2015;243,783;0;51;pop dance,uk dance,uk funky,pop,uk contemporary r&b;0,842;0,534;10;-8,547;0;0,171;0,147;0,0000777;0,261;0,761;119,976;4;Asylum/Major Tom's;C © 2015 Asylum Records UK, a division of Atlantic Records UK, A Warner Music Group company, P ? 2015 Asylum Records UK, a division of Atlantic Records UK, A Warner Music Group company;;;0,243783
Daughtry;Daughtry;20/11/2006;204,853;0;63;alternative metal,neo mellow,pop rock,post-grunge;0,423;0,922;3;-2,6;1;0,0411;0,017;0;0,102;0,567;156,046;4;RCA Records Label;P (P) 2006 19 Recordings Ltd, under exclusive license to RCA Records, a division of Sony Music Entertainment;;;0,204853
The Angels;Greatest Hits;28/10/2011;258,386;1;0;australian rock;0,203;0,946;9;-6,437;1;0,0604;0,00163;0,000048;0,979;0,377;184,3;4;Bloodlines;C 2011 Bloodlines, P 2011 Bloodlines;;;0,258386
The Who;Meaty, Beaty, Big And Bouncy;30/10/1971;132,8;0;43;album rock,british invasion,classic rock,hard rock,rock;0,556;0,572;2;-11,692;1;0,0554;0,0272;0,00498;0,105;0,964;128,888;4;Geffen;C © 1990 Geffen Records, P This Compilation ? 1990 Geffen Records;;;0,1328
Madonna;Who's That Girl Soundtrack;21/07/1987;261,666;0;49;dance pop,pop;0,771;0,749;5;-10,628;0;0,0401;0,216;0,00184;0,135;0,854;119,875;4;Sire/Warner Records;C © 1987 Sire Records Ltd,, P ? 1987 Sire Records Ltd,;;;0,261666
New Order;Singles (2016 Remaster);30/09/2005;450,8;0;65;dance rock,madchester,new romantic,new wave,permanent wave,post-punk,synthpop,uk post-punk;0,793;0,703;0;-9,548;1;0,0581;0,000726;0,88;0,075;0,856;130,27;4;Rhino/Warner Records;C © 2016 Warner Music UK Limited, P ? 2016 Warner Music UK Limited;;;0,4508
Imagine Dragons;Origins (Deluxe);09/11/2018;260,773;0;83;modern rock,pop,rock;0,383;0,637;3;-6,993;1;0,0703;0,0722;0;0,368;0,0827;177,913;4;Kid Ina Korner / Interscope;C © 2018 KIDinaKORNER/Interscope Records, P ? 2018 KIDinaKORNER/Interscope Records;;;0,260773
Wings;Pure McCartney;10/06/2016;193,773;0;37;album rock,beatlesque,classic rock,folk rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock;0,431;0,513;7;-10,471;1;0,0624;0,272;0,00228;0,114;0,226;154,105;5;Paul McCartney Catalog;C © 2016 MPL Communications Inc/Ltd, under exclusive license to Universal Music Enterprises, a Division of UMG Recordings, Inc,, P This Compilation ? 2016 MPL Communications Inc/Ltd, under exclusive license to Universal Music Enterprises, a Division of UMG Recordings, Inc,;;;0,193773
Kylie Minogue;Dancing;26/01/2018;178,88;0;0;australian dance,australian pop,dance pop,eurodance,new wave pop;0,497;0,706;6;-4,554;1;0,0371;0,0084;0,000165;0,325;0,528;110,038;4;Liberator Music;C 2018 Kylie Minogue/Darenote Limited under exclusive licence to BMG Rights Management (UK) Limited, P 2018 Kylie Minogue/Darenote Limited under exclusive licence to BMG Rights Management (UK) Limited;;;0,17888
Jawsh 685, Jason Derulo;Savage Love (Laxed - Siren Beat);11/06/2020;171,374;1;78;nz pop,dance pop,pop;0,767;0,481;0;-8,52;0;0,0803;0,234;0;0,269;0,761;150,076;4;Columbia;P (P) 2020 Columbia Records, a Division of Sony Music Entertainment;;;0,171374
Ricki-Lee;Fear & Freedom;01/01/2012;235,131;0;2;australian dance,australian pop,australian talent show;0,56;0,865;7;-2,631;1;0,0316;0,0029;0,000199;0,158;0,477;127,952;4;Virgin Records;C © 2013 EMI Recorded Music Australia Pty Ltd,, P ? 2012 EMI Recorded Music Australia Pty Ltd,;;;0,235131
Liberty X;Thinking It Over;01/01/2002;236,133;0;0;europop,girl group,talent show;0,796;0,617;5;-6,198;0;0,0619;0,00824;0;0,0495;0,72;103,858;4;Universal Music Russia;C (C) 2002 V2 Music Limited, P (P) 2002 V2 Music Limited;;;0,236133
Belinda Carlisle;Runaway Horses (Remastered & Expanded Special Edition);17/10/1989;278,36;0;56;new romantic,new wave pop,soft rock;0,549;0,874;2;-6,317;1;0,0631;0,0317;0;0,101;0,498;128,692;4;Edsel;C (C) 2013 Demon Music Group Ltd,, P (P) 1989 Artist Management Services Ltd;;;0,27836
Irene Cara;What a Feelin';02/11/1983;237,053;0;80;disco,new romantic,new wave pop,soft rock;0,572;0,654;7;-7,027;0;0,0344;0,0058;0,00000321;0,09;0,399;122,491;4;UNIDISC MUSIC INC,;C 1983 Unidisc Music Inc,, P 1983 Unidisc Music Inc,;;;0,237053
Boyzone;Where We Belong;25/05/1998;274,266;0;0;boy band;0,704;0,417;7;-9,41;1;0,0243;0,187;0,00000213;0,137;0,532;92,726;4;Universal Music Group;C © 1998 Universal Music Ireland Ltd,, P ? 1998 Universal Music Ireland Ltd,;;;0,274266
Ed Sheeran;+;09/09/2011;258,373;0;77;pop,singer-songwriter pop,uk pop;0,642;0,289;9;-9,918;1;0,0367;0,669;0;0,18;0,407;84,996;4;Atlantic Records UK;C © 2011 Warner Music UK Limited, P ? 2011 Warner Music UK Limited;;;0,258373
Mary J, Blige;No More Drama;28/08/2001;265,866;0;81;dance pop,neo soul,r&b,urban contemporary;0,911;0,551;8;-3,75;0;0,0449;0,132;0,0000412;0,0863;0,969;92,887;4;Uptown;C © 2001 MCA Records Inc,, P ? 2001 Geffen Records;;;0,265866
Eliza Doolittle;Eliza Doolittle;09/07/2010;191,026;0;45;lilith;0,672;0,809;11;-5,704;1;0,0595;0,325;0;0,336;0,88;133,036;4;Parlophone UK;C © 2010 Parlophone Records Ltd, a Warner Music Group Company, P ? 2010 Parlophone Records Ltd, a Warner Music Group Company;;;0,191026
Tommy Tutone;Tommy Tutone - 2;04/12/1981;226,2;0;66;;0,584;0,708;5;-10,039;1;0,0593;0,0264;0,00364;0,112;0,564;137,657;4;Columbia;P (P) 1981 Assorted Music, Inc, d/b/a Philadelphia International Records;;;0,2262
Ricky Nelson, Bob Fisher;More Songs By Ricky / Rick Is 21;01/01/2001;155,2;0;0;adult standards,doo-wop,rock-and-roll,rockabilly;0,511;0,222;7;-13,469;0;0,0333;0,371;0,0000374;0,171;0,398;78,08;4;Capitol Records;"C © 2001 Capitol Records, LLC, P A Capitol Records Release; This Compilation ? 2001 Capitol Records, LLC";;;0,1552
The Pussycat Dolls, Snoop Dogg;Buttons (International Version);01/01/2006;233,186;0;0;dance pop,girl group,pop,g funk,gangster rap,hip hop,pop rap,rap,west coast rap;0,478;0,829;11;-4,222;0;0,378;0,206;0;0,255;0,506;210,796;4;A&M;C © 2006 Pussycat Dolls, LLC, P ? 2006 Pussycat Dolls, LLC;;;0,233186
Christina Aguilera;Keeps Gettin' Better: A Decade Of Hits;07/11/2008;228,626;0;0;dance pop,pop;0,856;0,716;7;-5,562;1;0,206;0,00336;0,00664;0,133;0,527;127,971;4;RCA Records Label;P (P) 2008 RCA/JIVE Label Group, a unit of Sony Music Entertainment;;;0,228626
JP Saxe, Julia Michaels;If the World Was Ending (feat, Julia Michaels);17/10/2019;208,687;0;80;alt z,canadian contemporary r&b,singer-songwriter pop,pop;0,464;0,473;1;-10,086;1;0,129;0,866;0;0,109;0,604;75,801;4;Arista Records;P (P) 2019 Arista Records, a division of Sony Music Entertainment;;;0,208687
